title,year,duration,genre,rating,url,User-Agnet
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Se7en ,1995,2h 7min,Crime,8.6,https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Life Is Beautiful ,1997,1h 56min,Comedy,8.6,https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Seven Samurai ,1954,3h 27min,Action,8.6,https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Star Wars: Episode IV - A New Hope ,1977,2h 1min,Action,8.6,https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Joker ,2019,2h 2min,Crime,8.5,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
The Green Mile ,1999,3h 9min,Crime,8.6,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Spirited Away ,2001,2h 5min,Animation,8.6,https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
City of God ,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Saving Private Ryan ,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Harakiri ,1962,2h 13min,Action,8.7,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Parasite ,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Psycho ,1960,1h 49min,Horror,8.5,https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
High and Low ,1963,2h 23min,Crime,8.5,https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Back to the Future ,1985,1h 56min,Adventure,8.5,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Léon: The Professional ,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15"
