currency pair,volume (24h)
BTC/USD,8 957 418.31 USD
BCH/USD,137 351.84 USD
ETH/USD,129 422.82 USD
LTC/USD,103 420.93 USD
PZM/USD,84 056.74 USD
DOGE/USD,23 780.69 USD
LSK/USD,13 582.96 USD
DASH/USD,11 955.69 USD
XEM/USD,10 725.79 USD
USD/RUR,7 818.59 USD
USDT/USD,5 021.13 USD
XRP/USD,902.52 USD
EUR/USD,820.33 USD
EMC/USD,745.83 USD
ITCM/USD,592.91 USD
EOS/USD,480.74 USD
TRX/USD,403.81 USD
ZEC/USD,399.35 USD
YOC/USD,323.07 USD
MDC/USD,268.10 USD
NEO/USD,249.69 USD
CPC/USD,179.72 USD
HB/USD,174.86 USD
DMD/USD,145.58 USD
BFF/USD,86.15 USD
JWL/USD,83.24 USD
EL/USD,62.22 USD
BTG/USD,48.21 USD
OTON/USD,31.74 USD
ABBC/USD,11.47 USD
VMR/USD,10.50 USD
NVC/USD,8.41 USD
ZRX/USD,7.36 USD
QTUM/USD,6.50 USD
INSN/USD,4.89 USD
ASAFE2/USD,4.67 USD
DGB/USD,3.86 USD
RVN/USD,2.76 USD
PLBT/USD,2.00 USD
BAT/USD,2.10 USD
PPY/USD,2.00 USD
RLC/USD,2.00 USD
SNT/USD,1.98 USD
PPC/USD,2.00 USD
CRC/USD,2.00 USD
RLT/USD,1.93 USD
DGD/USD,0.72 USD
HST/USD,0.00 USD
ADL/USD,0.00 USD
XRC/USD,0.00 USD
OBITS/USD,0.00 USD
ANT/USD,0.00 USD
SHIFT/USD,0.00 USD
DIME/USD,0.00 USD
TUBE/USD,0.00 USD
TUSD/USD,0.00 USD
TIME/USD,0.00 USD
ARC/USD,0.00 USD
KNC/USD,0.00 USD
LKE/USD,0.00 USD
onLEXpa/USD,0.00 USD
GNO/USD,0.00 USD
ADA/USD,0.00 USD
HNR/USD,0.00 USD
MNC/USD,0.00 USD
BID/USD,0.00 USD
DIG/USD,0.00 USD
STRAT/USD,0.00 USD
SNB/USD,0.00 USD
PUT/USD,2.00 USD
PAX/USD,0.00 USD
EDG/USD,0.00 USD
CBR/USD,0.00 USD
CLPC/USD,0.00 USD
VOISE/USD,0.00 USD
TRST/USD,0.00 USD
VRS/USD,0.00 USD
PAI/USD,0.00 USD
WP/USD,0.00 USD
DYN/USD,0.00 USD
ETHOS/USD,0.00 USD
PPT/USD,0.00 USD
DIBC/USD,0.00 USD
ARK/USD,0.00 USD
PRO/USD,0.00 USD
USD/EURN,0.00 USD
DMC/USD,0.00 USD
VIB/USD,0.00 USD
OMG/USD,0.00 USD
BSHORT/USD,0.00 USD
REP/USD,0.00 USD
LibraF/USD,0.00 USD
CPP/USD,0.00 USD
NAM/USD,0.00 USD
SNGLS/USD,0.00 USD
BIO/USD,0.00 USD
TKN/USD,0.00 USD
HVN/USD,0.00 USD
SC/USD,0.00 USD
PIVX/USD,0.00 USD
